nodesPerPartition bytesPerNode cliquesPerPartition
9 1 3
14 1 3
17 1 4
23 1 2
22 1 4
6 1 4
16 1 2
13 1 2
13 1 2
29 1 4
32 1 4
11 1 2
11 1 4
17 1 8
41 2 12
12 1 2
13 1 6
33 1 3
21 1 2
7 1 2
15 1 5
22 1 2
14 1 2
26 1 2
8 1 1
44 1 7
30 1 8
52 2 14
18 1 7
20 1 4
9 1 4
12 1 5
28 1 2
20 1 2
13 1 2
23 1 5
13 1 5
35 1 2
10 1 2
30 1 4
13 1 2
9 1 4
6 1 4
31 1 4
5 1 1
41 2 5
15 1 3
11 1 4
18 1 4
8 1 2
9 1 4
17 1 2
11 1 2
22 1 6
34 1 7
32 1 8
42 2 6
11 1 2
11 1 3
3 1 1
22 1 2
13 1 2
8 1 2
6 1 1
45 1 6
13 1 2
18 1 6
10 1 2
10 1 2
11 1 4
20 1 3
22 1 3
14 1 3
19 1 2
19 1 5
24 1 2
34 1 3
9 1 3
31 1 4
24 1 3
3 1 3
16 1 3
48 1 5
23 1 2
13 1 2
15 1 2
15 1 3
6 1 3
17 1 3
15 1 2
9 1 2
18 1 5
13 1 5
19 1 2
17 1 2
5 1 2
12 1 2
8 1 2
6 1 2
8 1 2
12 1 4
34 1 3
15 1 3
11 1 2
22 1 3
11 1 2
30 1 3
23 1 3
26 1 3
27 1 2
14 1 2
23 1 2
13 1 2
16 1 2
24 1 2
16 1 8
72 2 11
19 1 3
27 1 2
29 1 2
27 1 8
29 2 6
23 1 3
26 1 2
17 1 2
33 1 4
20 1 4
7 1 2
12 1 4
18 1 3
16 1 2
8 1 2
13 1 2
9 1 2
6 1 2
11 1 2
34 1 8
9 1 8
39 2 8
19 1 4
4 1 4
16 1 8
37 2 4
9 1 3
22 1 2
11 1 2
5 1 2
13 1 2
26 1 6
34 1 3
29 1 3
18 1 3
23 1 2
12 1 2
16 1 2
8 1 2
10 1 2
24 1 2
5 1 2
17 1 2
34 1 3
13 1 2
18 1 4
15 1 4
22 1 5
17 1 4
13 1 3
9 1 3
28 1 3
12 1 2
6 1 2
12 1 2
24 1 2
14 1 2
12 1 2
10 1 2
19 1 2
19 1 4
22 1 4
17 1 6
19 1 3
18 1 2
14 1 2
13 1 2
14 1 2
13 1 2
13 1 3
17 1 5
29 1 2
8 1 2
4 1 2
5 1 2
13 1 2
15 1 2
17 1 2
9 1 2
22 1 8
39 1 4
12 1 3
17 1 4
23 1 3
19 1 2
18 1 2
7 1 2
18 1 7
28 1 6
11 1 6
14 1 2
5 1 2
8 1 2
8 1 2
12 1 5
6 1 5
28 1 2
12 1 2
16 1 2
24 1 3
18 1 3
16 1 7
10 1 7
33 1 3
35 1 2
23 1 2
20 1 2
14 1 2
11 1 2
15 1 4
12 1 4
17 1 6
38 1 3
14 1 3
13 1 3
19 1 5
10 1 5
16 1 5
29 1 2
8 1 1
15 1 2
6 1 1
40 2 6
15 1 3
7 1 2
7 1 2
18 1 3
24 1 3
17 1 3
28 1 3
15 1 3
16 1 2
17 1 3
19 1 2
21 1 2
22 1 2
18 1 2
12 1 4
9 1 4
17 1 2
22 1 3
18 1 3
14 1 2
13 1 2
9 1 2
20 1 2
13 1 2
28 1 4
18 1 4
31 1 3
21 1 3
16 1 3
12 1 2
28 1 2
21 1 2
28 1 2
24 1 2
22 1 2
13 1 2
22 1 3
17 1 3
14 1 2
8 1 2
3 1 2
12 1 2
19 1 3
21 1 3
5 1 1
26 1 2
18 1 2
16 1 3
11 1 3
10 1 2
10 1 2
27 1 3
15 1 3
11 1 2
11 1 3
7 1 3
8 1 2
10 1 2
11 1 3
45 1 2
15 1 2
9 1 2
14 1 2
8 1 2
6 1 2
11 1 2
15 1 3
33 1 3
5 1 3
13 1 2
11 1 2
15 1 4
10 1 4
30 1 5
39 1 3
8 1 2
15 1 3
29 1 2
5 1 1
10 1 2
14 1 2
11 1 2
11 1 2
25 1 2
19 1 2
19 1 3
8 1 3
17 1 4
23 1 3
9 1 3
19 1 2
17 1 2
14 1 3
32 1 3
16 1 2
17 1 2
20 1 3
7 1 2
8 1 3
26 1 2
14 1 2
9 1 2
20 1 2
5 1 2
13 1 2
10 1 2
13 1 2
12 1 2
16 1 3
22 1 3
24 1 3
17 1 2
19 1 4
7 1 4
28 1 4
21 1 4
27 1 4
13 1 2
12 1 2
7 1 2
16 1 3
17 1 4
32 1 2
9 1 2
17 1 3
17 1 7
14 1 7
40 1 4
34 1 5
13 1 5
36 1 3
27 1 2
10 1 2
23 1 2
11 1 2
22 1 2
13 1 3
6 1 2
6 1 5
34 1 2
24 1 2
14 1 2
26 1 2
24 1 2
14 1 3
5 1 1
13 1 2
16 1 2
17 1 2
28 1 5
38 1 3
25 1 3
20 1 3
13 1 3
35 1 2
21 1 3
13 1 3
23 1 2
5 1 1
15 1 2
26 1 2
7 1 2
21 1 2
19 1 5
43 1 2
13 1 2
15 1 2
22 1 2
18 1 2
12 1 2
7 1 2
8 1 2
15 1 4
12 1 4
19 1 2
6 1 2
13 1 3
15 1 2
22 1 2
9 1 2
25 1 2
15 1 2
19 1 2
15 1 2
9 1 2
21 1 2
8 1 2
19 1 5
32 1 4
21 1 2
8 1 2
11 1 2
18 1 2
15 1 2
29 1 2
26 1 2
23 1 2
25 1 3
36 1 3
25 1 3
7 1 3
14 1 3
18 1 4
6 1 4
13 1 4
17 1 8
16 1 8
34 2 13
45 2 8
7 1 2
7 1 4
19 1 3
5 1 3
15 1 2
11 1 2
12 1 2
19 1 5
31 1 2
23 1 3
10 1 3
19 1 4
16 1 2
12 1 2
9 1 2
15 1 5
14 1 2
7 1 2
19 1 3
5 1 2
12 1 3
10 1 2
12 1 2
12 1 3
6 1 3
16 1 3
15 1 4
12 1 4
18 1 2
7 1 2
17 1 2
26 1 3
13 1 3
29 1 3
28 1 2
35 1 4
24 1 2
5 1 2
9 1 2
23 1 2
27 1 3
16 1 3
15 1 4
24 1 8
23 1 6
30 1 5
17 1 5
20 1 2
9 1 2
18 1 2
10 1 2
18 1 3
7 1 2
20 1 8
22 1 2
7 1 2
5 1 2
16 1 2
26 1 8
12 2 6
11 1 5
5 1 5
24 1 2
4 1 2
9 1 2
15 1 2
23 1 2
8 1 2
21 1 2
17 1 2
17 1 2
9 1 2
8 1 2
11 1 2
24 1 2
12 1 2
15 1 2
14 1 2
13 1 5
30 1 7
14 1 7
28 2 9
33 2 6
26 1 3
13 1 2
18 1 4
6 1 4
14 1 3
16 1 2
18 1 3
23 1 4
16 1 4
14 1 4
27 1 2
28 1 5
8 1 2
5 1 2
28 1 4
9 1 4
24 1 5
25 1 2
18 1 2
15 1 2
20 1 3
7 1 2
14 1 2
7 1 2
6 1 2
20 1 3
17 1 2
16 1 2
6 1 2
16 1 3
14 1 3
20 1 2
16 1 4
22 1 2
18 1 2
12 1 1
22 1 5
48 1 4
27 1 4
16 1 4
26 1 2
20 1 2
15 1 2
23 1 3
26 1 3
10 1 3
18 1 3
19 1 2
18 1 3
25 1 4
12 1 4
35 1 3
16 1 3
7 1 3
7 1 1
24 1 2
12 1 2
14 1 2
9 1 2
13 1 2
11 1 2
12 1 2
13 1 2
25 1 6
35 1 6
9 1 6
42 2 6
28 1 5
31 1 2
10 1 2
13 1 2
7 1 2
28 1 3
15 1 2
13 1 2
16 1 3
10 1 3
24 1 3
10 1 3
5 1 3
6 1 2
12 1 3
36 2 5
32 1 4
29 1 2
12 1 2
8 1 2
19 1 3
12 1 2
17 1 2
26 1 2
12 1 2
6 1 2
12 1 3
15 1 2
28 1 3
29 1 4
9 1 2
10 1 4
22 1 5
3 1 2
6 1 2
7 1 5
33 1 2
22 1 3
8 1 3
10 1 2
24 1 3
18 1 2
35 1 2
42 1 4
13 1 2
10 1 3
11 1 2
9 1 2
18 1 4
32 1 2
11 1 2
10 1 2
14 1 2
14 1 2
10 1 2
8 1 3
31 1 8
60 1 3
8 1 2
11 1 3
21 1 3
22 1 3
14 1 2
13 1 2
9 1 2
20 1 2
15 1 2
30 1 3
7 1 3
29 1 3
20 1 3
14 1 3
24 1 2
18 1 3
14 1 3
23 1 2
15 1 2
12 1 2
4 1 2
7 1 4
26 1 5
16 1 3
13 1 2
23 1 3
11 1 3
22 1 3
16 1 3
10 1 3
8 1 2
27 1 3
16 1 2
17 1 2
10 1 2
8 1 2
4 1 1
18 1 2
9 1 2
6 1 2
10 1 1
22 1 4
14 1 3
30 1 3
19 1 2
4 1 2
17 1 2
11 1 2
21 1 6
10 1 6
37 1 4
16 1 4
24 1 2
17 1 2
18 1 2
22 1 7
33 1 3
16 1 3
6 1 3
36 1 3
15 1 3
22 1 2
8 1 2
9 1 2
16 1 2
20 1 5
23 1 2
22 1 2
12 1 2
14 1 2
15 1 5
38 1 2
26 1 2
18 1 2
19 1 2
18 1 3
15 1 3
19 1 5
10 1 5
18 1 2
14 1 3
8 1 3
23 1 2
6 1 2
19 1 3
12 1 3
16 1 2
37 1 3
4 1 3
17 1 2
12 1 2
12 1 2
19 1 2
22 1 7
10 1 2
9 1 7
46 1 2
24 1 2
17 1 2
12 1 3
20 1 2
29 1 2
27 1 3
15 1 2
16 1 2
14 1 2
12 1 2
11 1 3
14 1 3
16 1 2
17 1 2
17 1 2
8 1 2
19 1 3
22 1 3
9 1 2
12 1 2
9 1 2
13 1 2
10 1 3
27 1 2
20 1 2
7 1 2
8 1 2
9 1 2
23 1 2
7 1 2
23 1 5
47 2 12
41 1 3
8 1 2
15 1 3
21 1 3
8 1 3
18 1 4
18 1 2
12 1 2
17 1 2
20 1 6
37 1 2
22 1 3
16 1 3
21 1 2
20 1 2
14 1 2
22 1 2
14 1 2
8 1 2
21 1 3
20 1 2
12 1 2
7 1 2
22 1 3
21 1 6
39 1 4
16 1 2
13 1 4
13 1 3
11 1 2
13 1 2
5 1 2
11 1 4
8 1 4
34 1 3
12 1 2
7 1 3
18 1 2
9 1 2
17 1 2
23 1 2
16 1 3
11 1 3
22 1 2
13 1 2
9 1 2
9 1 4
9 1 3
31 1 3
17 1 3
24 1 3
28 1 2
12 1 2
8 1 2
12 1 2
25 1 2
8 1 2
24 1 3
15 1 3
19 1 1
41 1 3
18 1 2
14 1 3
7 1 2
23 1 3
7 1 2
16 1 2
27 1 3
4 1 2
4 1 2
13 1 3
13 1 2
14 1 2
5 1 2
19 1 2
15 1 2
13 1 2
11 1 2
7 1 2
8 1 2
26 1 5
26 1 4
16 1 3
20 1 2
11 1 2
6 1 2
19 1 7
7 1 7
34 1 2
8 1 2
9 1 2
17 1 3
9 1 3
13 1 2
26 1 2
16 1 2
23 1 2
9 1 2
5 1 2
35 1 2
7 1 2
8 1 2
12 1 2
5 1 2
11 1 4
25 1 3
19 1 3
3 1 3
30 1 2
30 1 2
19 1 2
18 1 2
25 1 2
19 1 2
10 1 2
20 1 2
10 1 2
17 1 5
3 1 5
27 1 2
8 1 2
28 1 2
13 1 2
10 1 2
16 1 2
23 1 2
15 1 2
29 1 2
7 1 2
8 1 2
20 1 2
25 1 2
21 1 2
10 1 2
8 1 2
19 1 2
16 1 2
26 1 4
21 1 4
32 1 4
15 1 4
14 1 3
18 1 5
8 1 5
37 1 8
55 2 8
12 1 2
11 1 2
6 1 2
9 1 2
14 1 2
13 1 6
26 1 3
11 1 3
16 1 2
22 1 2
18 1 3
14 1 3
10 1 2
13 1 2
14 1 2
11 1 2
11 1 6
26 1 8
3 1 8
41 1 4
26 1 3
8 1 3
20 1 8
41 2 5
18 1 3
7 1 2
10 1 2
16 1 2
17 1 2
14 1 2
10 1 4
3 1 4
25 1 2
7 1 2
30 1 4
20 1 4
26 1 2
17 1 2
20 1 3
12 1 3
23 1 3
18 1 2
18 1 3
10 1 3
14 1 4
14 1 2
11 1 2
15 1 2
18 1 2
13 1 2
17 1 3
8 1 3
8 1 2
14 1 2
9 1 2
15 1 2
15 1 2
8 1 2
9 1 2
11 1 2
6 1 2
11 1 3
9 1 2
14 1 2
27 1 7
40 1 2
26 1 2
8 1 2
28 1 3
19 1 3
12 1 2
16 1 5
21 1 2
16 1 2
14 1 2
18 1 2
22 1 4
33 1 3
8 1 2
15 1 3
8 1 3
25 1 3
13 1 2
22 1 5
13 1 5
7 1 5
22 1 4
7 1 4
18 1 2
11 1 2
11 1 8
34 1 3
24 1 3
16 1 4
13 1 4
25 1 7
39 1 5
34 1 3
14 1 3
7 1 3
17 1 4
17 1 4
24 1 3
7 1 1
17 1 4
30 1 3
12 1 3
8 1 3
11 1 2
14 1 2
6 1 2
9 1 2
22 1 5
30 1 3
15 1 3
9 1 3
30 1 3
6 1 3
32 1 5
23 1 5
28 1 4
24 1 3
15 1 3
41 1 6
36 1 7
15 1 7
21 1 3
22 1 3
9 1 2
17 1 2
15 1 2
19 1 4
13 1 7
39 1 5
24 1 3
12 1 3
28 1 2
11 1 2
19 1 2
9 1 2
10 1 2
18 1 2
9 1 2
11 1 2
23 1 3
23 1 5
5 1 2
14 1 5
34 1 4
24 1 4
8 1 4
13 1 4
8 1 4
30 1 3
10 1 3
7 1 3
19 1 2
31 1 2
24 1 3
16 1 3
3 1 2
15 1 2
21 1 2
37 1 5
38 1 3
14 1 2
9 1 2
22 1 3
41 2 8
9 1 2
23 1 4
34 1 3
11 1 3
6 1 3
32 1 4
11 1 3
12 1 4
22 1 4
13 1 4
13 1 3
7 1 3
4 1 3
19 1 2
21 1 2
9 1 2
10 1 2
11 1 2
7 1 2
10 1 2
20 1 5
17 1 5
28 1 5
17 1 5
37 1 5
15 1 3
17 1 3
16 1 3
6 1 2
18 1 4
9 1 4
20 1 3
13 1 2
12 1 2
9 1 2
11 1 3
8 1 3
20 1 3
15 1 3
27 1 2
16 1 2
17 1 3
12 1 2
19 1 3
10 1 2
25 1 3
18 1 3
6 1 3
10 1 2
21 1 8
11 1 8
5 1 8
34 2 6
16 1 3
24 1 4
8 1 4
30 1 2
15 1 2
14 1 2
7 1 2
6 1 2
17 1 5
31 1 4
27 1 3
17 1 3
12 1 3
27 1 2
11 1 2
15 1 2
27 1 3
26 1 5
11 1 5
15 1 4
25 1 4
4 1 2
7 1 4
17 1 3
13 1 3
14 1 2
16 1 2
16 1 4
17 1 3
7 1 3
19 1 2
18 1 2
8 1 2
3 1 1
9 1 3
7 1 2
13 1 2
12 1 2
31 1 3
14 1 3
8 1 3
24 1 2
14 1 2
16 1 4
34 1 4
19 1 4
12 1 4
15 1 3
15 1 2
28 1 3
17 1 3
24 1 3
15 1 2
7 1 2
5 1 2
10 1 2
10 1 3
14 1 2
28 1 3
16 1 3
25 1 3
27 1 3
20 1 4
10 1 4
17 1 3
22 1 3
14 1 3
21 1 2
17 1 2
13 1 2
14 1 2
12 1 2
24 1 7
22 1 2
8 1 2
15 1 2
15 1 2
17 1 2
16 1 2
7 1 2
8 1 3
11 1 2
10 1 2
23 1 6
16 1 6
36 1 4
24 1 4
20 1 3
15 1 3
9 1 3
16 1 2
13 1 2
14 1 3
17 1 3
20 1 3
7 1 3
24 1 2
7 1 2
20 1 3
21 1 3
19 1 3
7 1 2
28 1 2
25 1 6
5 1 6
4 1 6
25 1 2
9 1 2
26 1 3
14 1 2
21 1 2
12 1 2
17 1 5
11 1 5
4 1 5
29 1 2
20 1 3
9 1 3
14 1 3
11 1 2
10 1 2
17 1 2
17 1 3
13 1 3
11 1 2
10 1 2
14 1 3
45 1 3
18 1 2
16 1 3
16 1 2
20 1 3
24 1 2
19 1 2
6 1 2
6 1 2
21 1 2
15 1 2
9 1 2
9 1 2
11 1 2
15 1 3
12 1 3
15 1 3
21 1 2
16 1 2
23 1 3
30 1 2
14 1 2
16 1 4
25 1 3
18 1 2
12 1 2
6 1 2
17 1 2
21 1 3
15 1 3
22 1 2
19 1 2
12 1 2
8 1 2
4 1 2
24 1 2
18 1 2
22 1 2
8 1 2
14 1 2
21 1 3
24 1 2
8 1 2
21 1 2
16 1 2
45 1 3
16 1 2
8 1 2
3 1 2
7 1 2
23 1 7
8 1 2
9 1 7
26 1 2
7 1 2
11 1 2
10 1 2
20 1 2
15 1 3
20 1 3
10 1 2
16 1 3
19 1 2
21 1 5
4 1 2
7 1 4
33 1 3
23 1 2
23 1 2
15 1 2
29 1 2
9 1 2
9 1 2
13 1 2
5 1 2
20 1 8
42 2 4
21 1 2
13 1 2
10 1 2
22 1 2
14 1 2
13 1 3
29 1 4
15 1 3
19 1 2
19 1 2
18 1 3
13 1 3
19 1 2
12 1 2
6 1 2
11 1 4
22 1 3
20 1 3
33 1 4
8 1 2
9 1 4
22 1 3
16 1 2
9 1 2
8 1 3
18 1 2
13 1 2
29 1 2
18 1 2
15 1 3
5 1 1
26 1 4
30 1 2
10 1 2
5 1 2
5 1 2
20 1 3
19 1 3
10 1 3
26 1 3
17 1 3
21 1 2
21 1 4
33 1 2
21 1 2
16 1 2
29 1 3
19 1 3
21 1 3
25 1 2
4 1 2
15 1 2
18 1 2
10 1 2
15 1 3
16 1 2
7 1 2
31 1 2
11 1 2
20 1 5
25 1 2
11 1 2
24 1 2
28 1 2
38 1 3
19 1 3
8 1 3
19 1 2
20 1 2
9 1 2
23 1 2
12 1 2
18 1 2
23 1 2
10 1 2
5 1 2
18 1 4
4 1 4
11 1 2
20 1 8
50 3 10
79 1 2
13 1 2
27 1 2
17 1 2
9 1 2
7 1 2
11 1 8
9 1 8
36 1 3
23 1 3
21 1 3
8 1 3
18 1 2
9 1 2
13 1 3
18 1 4
11 1 4
20 1 8
14 1 8
37 1 3
15 1 2
10 1 2
10 1 3
13 1 2
13 1 2
22 1 3
30 1 6
13 1 3
14 1 6
16 1 2
29 1 3
11 1 2
11 1 3
16 1 2
5 1 2
11 1 5
17 1 2
9 1 2
19 1 2
9 1 2
21 1 2
12 1 2
21 1 3
16 1 3
22 1 2
16 1 2
15 1 3
10 1 3
13 1 3
9 1 2
12 1 2
8 1 2
7 1 3
13 1 5
20 1 7
10 1 7
39 1 2
12 1 2
14 1 2
23 1 3
21 1 3
26 1 5
23 1 3
11 1 2
13 1 2
11 1 2
21 1 3
14 1 3
9 1 3
12 1 4
16 1 4
13 1 2
16 1 2
10 1 4
20 1 5
12 1 2
20 1 5
33 1 8
57 3 15
25 1 2
12 1 2
18 1 2
8 1 2
17 1 3
14 1 7
13 1 7
46 1 4
13 1 4
26 1 4
9 1 4
15 1 3
4 1 3
20 1 3
13 1 3
16 1 3
21 1 2
19 1 6
11 1 6
26 1 2
18 1 2
8 1 2
14 1 2
15 1 2
18 1 4
44 1 7
33 1 3
10 1 3
34 1 5
31 1 3
25 1 3
23 1 2
15 1 3
7 1 3
16 1 5
23 1 3
21 1 4
6 1 4
34 1 5
23 1 4
16 1 4
12 1 2
19 1 3
15 1 2
12 1 2
13 1 2
19 1 3
17 1 3
8 1 2
11 1 2
16 1 2
6 1 1
19 1 4
6 1 2
7 1 4
12 1 8
45 1 4
34 1 3
9 1 2
19 1 3
17 1 2
18 1 3
21 1 3
28 1 5
38 1 5
27 1 5
25 1 2
11 1 2
8 1 2
9 1 2
15 1 2
38 1 5
30 1 4
10 1 2
12 1 4
19 1 2
12 1 2
7 1 2
7 1 3
6 1 4
12 1 5
25 1 3
12 1 3
13 1 4
20 1 3
29 1 3
16 1 2
10 1 2
7 1 2
17 1 2
20 1 5
11 1 5
13 1 4
10 1 4
20 1 2
14 1 3
5 1 3
17 1 6
6 1 6
34 1 2
27 1 2
7 1 2
18 1 4
20 1 2
24 1 7
22 1 2
5 1 2
11 1 2
46 1 3
16 1 2
10 1 2
5 1 2
15 1 2
18 1 2
9 1 2
17 1 3
18 1 6
4 1 6
21 1 3
11 1 3
11 1 2
9 1 2
9 1 2
9 1 2
11 1 3
10 1 2
20 1 3
27 1 3
15 1 3
9 1 3
18 1 4
22 1 3
21 1 2
26 1 2
24 1 3
17 1 3
8 1 2
14 1 4
11 1 4
26 1 3
13 1 2
7 1 2
7 1 2
7 1 2
16 1 4
14 1 4
28 1 2
30 1 3
8 1 2
13 1 3
13 1 2
24 1 3
8 1 3
16 1 3
18 1 5
24 1 3
21 1 2
16 1 2
20 1 2
22 1 3
22 1 3
14 1 3
17 1 3
16 1 2
17 1 2
9 1 2
7 1 2
20 1 2
16 1 2
18 1 5
27 1 2
14 1 2
22 1 2
11 1 2
25 1 2
11 1 2
4 1 2
4 1 1
11 1 3
21 1 5
30 1 3
26 1 3
8 1 2
13 1 2
13 1 3
21 1 4
7 1 4
25 1 2
9 1 2
4 1 2
12 1 2
9 1 2
7 1 2
21 1 4
22 1 2
8 1 2
12 1 2
36 1 3
11 1 2
15 1 3
3 1 1
27 1 2
18 1 2
18 1 3
14 1 2
16 1 3
17 1 2
10 1 5
7 1 5
17 1 3
19 1 5
27 1 2
27 1 2
14 1 2
20 1 2
18 1 2
16 1 4
21 1 1
27 1 2
9 1 2
11 1 2
9 1 2
23 1 2
7 1 2
13 1 2
17 1 3
13 1 2
22 1 2
22 1 3
11 1 3
17 1 3
11 1 4
14 1 3
13 1 3
12 1 3
21 1 3
14 1 3
21 1 3
8 1 3
19 1 3
14 1 3
10 1 3
24 1 2
19 1 2
24 1 2
17 1 2
26 1 3
23 1 3
25 1 3
13 1 3
6 1 3
14 1 3
24 1 2
4 1 2
11 1 2
12 1 3
9 1 2
6 1 2
14 1 2
13 1 2
7 1 2
13 1 2
11 1 2
10 1 2
15 1 2
15 1 4
9 1 4
26 1 2
27 1 2
24 1 4
7 1 4
20 1 2
11 1 2
26 1 2
22 1 2
11 1 2
11 1 2
9 1 2
19 1 2
12 1 3
9 1 3
34 1 3
22 1 3
5 1 2
8 1 3
16 1 3
7 1 3
14 1 2
7 1 2
16 1 3
23 1 2
9 1 2
23 1 3
5 1 3
23 1 2
11 1 2
20 1 3
15 1 3
18 1 2
8 1 2
7 1 2
15 1 2
7 1 2
5 1 2
14 1 2
11 1 2
14 1 3
25 1 2
21 1 2
7 1 2
10 1 2
9 1 2
20 1 2
20 1 2
15 1 3
17 1 2
8 1 2
12 1 2
3 1 1
12 1 2
16 1 2
11 1 2
9 1 2
26 1 4
15 1 4
19 1 4
21 1 3
17 1 3
34 1 3
14 1 2
9 1 2
11 1 4
6 1 4
40 1 2
16 1 2
12 1 2
15 1 2
18 1 3
16 1 3
19 1 2
9 1 2
5 1 2
6 1 2
10 1 2
9 1 2
19 1 2
10 1 2
12 1 3
15 1 4
32 1 2
25 1 2
3 1 2
9 1 2
9 1 2
16 1 2
14 1 3
31 1 2
6 1 2
15 1 2
15 1 2
18 1 2
23 1 3
6 1 3
24 1 3
11 1 3
18 1 2
13 1 2
24 1 3
34 1 2
8 1 2
15 1 2
14 1 2
15 1 2
6 1 2
21 1 2
8 1 2
16 1 2
26 1 3
28 1 2
14 1 2
11 1 2
33 1 2
18 1 3
15 1 8
39 2 10
16 1 8
44 2 5
12 1 2
19 1 2
20 1 2
25 1 4
17 1 3
16 1 2
21 1 2
13 1 5
10 1 5
28 1 3
8 1 3
19 1 2
17 1 3
6 1 3
10 1 2
13 1 6
17 1 3
10 1 3
10 1 2
18 1 3
6 1 3
22 1 4
24 1 2
13 1 2
11 1 2
9 1 2
14 1 2
15 1 2
16 1 3
7 1 3
21 1 3
5 1 3
23 1 7
26 1 6
14 1 6
26 1 5
25 1 3
17 1 3
19 1 2
12 1 2
16 1 5
23 1 3
8 1 3
12 1 2
7 1 2
8 1 2
15 1 4
13 1 4
14 1 2
9 1 4
27 1 3
20 1 3
20 1 4
11 1 4
24 1 5
17 1 3
12 1 1
33 1 4
31 1 3
9 1 2
12 1 3
24 2 5
14 1 2
11 1 2
16 1 3
11 1 3
23 1 4
13 1 4
9 1 4
20 1 3
15 1 2
8 1 2
8 1 2
8 1 3
22 1 3
9 1 3
11 1 2
12 1 3
22 1 2
32 1 2
5 1 2
10 1 2
8 1 2
20 1 2
8 1 2
22 1 6
17 1 6
18 1 3
16 1 2
12 1 2
19 1 4
10 1 4
27 1 2
21 1 4
8 1 4
23 1 5
5 1 5
30 1 3
15 1 3
10 1 2
14 1 3
10 1 3
12 1 4
18 1 4
11 1 4
16 1 5
34 1 8
35 2 6
25 1 3
20 1 2
7 1 2
12 1 2
5 1 2
31 1 2
13 1 2
9 1 2
30 1 3
8 1 2
14 1 3
14 1 2
9 1 2
10 1 2
13 1 2
12 1 2
18 1 4
45 1 2
8 1 2
8 1 2
15 1 2
9 1 2
9 1 2
19 1 3
21 1 2
12 1 2
7 1 2
10 1 4
16 1 2
5 1 2
13 1 3
14 1 2
19 1 2
8 1 2
7 1 2
9 1 2
29 1 3
12 1 2
7 1 2
24 1 4
14 1 2
18 1 2
21 1 3
15 1 3
24 1 2
14 1 2
3 1 1
16 1 2
10 1 2
11 1 3
26 1 2
5 1 2
7 1 1
11 1 2
8 1 2
11 1 3
33 1 4
13 1 3
15 1 4
17 1 2
18 1 2
13 1 2
11 1 2
20 1 2
24 1 4
27 1 2
25 1 2
8 1 2
20 1 3
13 1 3
32 1 3
11 1 3
13 1 2
20 1 4
15 1 4
32 2 6
10 1 2
28 1 3
21 1 2
9 1 2
16 1 3
20 1 2
23 1 8
11 1 8
36 2 5
3 1 2
5 1 2
6 1 2
8 1 2
5 1 2
5 1 1
15 1 2
16 1 3
17 1 4
11 1 3
29 1 3
9 1 3
27 1 2
27 1 2
5 1 2
15 1 3
23 1 2
10 1 2
12 1 5
16 1 2
8 1 2
8 1 5
20 1 2
13 1 2
8 1 2
16 1 2
11 1 2
7 1 2
18 1 2
6 1 2
24 1 3
13 1 3
19 1 3
6 1 2
10 1 3
15 1 2
11 1 2
5 1 2
9 1 2
13 1 4
10 1 5
19 1 3
11 1 3
20 1 2
7 1 2
13 1 4
43 1 2
25 1 2
6 1 2
23 1 3
26 1 2
20 1 3
6 1 3
18 1 2
17 1 2
9 1 2
9 1 2
9 1 2
8 1 2
12 1 2
6 1 1
17 1 4
17 1 3
8 1 3
16 1 2
7 1 2
5 1 2
8 1 2
21 1 3
4 1 2
16 1 5
11 1 5
25 1 2
10 1 2
22 1 7
4 1 3
14 1 7
16 1 2
14 1 2
22 1 2
15 1 2
13 1 2
20 1 4
24 1 3
6 1 2
7 1 3
10 1 3
26 1 3
25 1 2
18 1 2
19 1 2
20 1 2
17 1 2
4 1 2
8 1 2
12 1 2
13 1 2
8 1 2
15 1 8
43 2 6
14 1 3
17 1 2
24 1 2
11 1 2
20 1 2
10 1 2
16 1 4
37 1 3
5 1 2
4 1 2
15 1 3
14 1 2
7 1 2
14 1 4
6 1 2
6 1 4
12 1 3
7 1 3
23 1 2
8 1 2
9 1 2
13 1 2
5 1 2
15 1 2
9 1 2
13 1 2
13 1 2
22 1 3
14 1 4
8 1 4
15 1 4
15 1 2
17 1 2
17 1 2
18 1 3
13 1 2
9 1 2
4 1 2
12 1 2
9 1 2
9 1 3
12 1 2
18 1 3
12 1 2
21 1 2
9 1 2
27 1 2
23 1 4
14 1 4
16 1 2
11 1 2
17 1 3
18 1 2
11 1 2
17 1 2
15 1 3
11 1 3
19 1 5
20 1 2
18 1 3
11 1 2
17 1 2
14 1 2
13 1 2
4 1 2
12 1 3
21 1 2
7 1 2
14 1 2
13 1 4
22 1 2
16 1 2
11 1 2
3 1 2
5 1 2
14 1 3
26 1 2
21 1 2
26 1 2
19 1 2
13 1 2
15 1 2
22 1 2
12 1 2
9 1 2
16 1 2
17 1 4
23 1 2
20 1 2
19 1 6
5 1 2
9 1 6
20 1 2
15 1 2
3 1 2
14 1 2
11 1 2
5 1 2
11 1 2
27 1 3
17 1 3
3 1 3
11 1 3
15 1 3
11 1 3
16 1 2
11 1 2
16 1 2
12 1 2
34 1 2
13 1 2
8 1 2
6 1 2
12 1 2
7 1 2
19 1 2
12 1 2
4 1 1
24 1 2
10 1 2
16 1 2
15 1 3
10 1 3
12 1 2
10 1 2
23 1 2
4 1 2
16 1 2
17 1 2
9 1 2
5 1 2
